HireDate,AnnualSalary,GrossPay
1979.8109589041096,55314.0,53626.04
2006.731506849315,74000.0,73000.08
2009.5561643835617,64500.0,64403.84
2013.558904109589,46309.0,59620.16
2013.3287671232877,60060.0,54059.6
2014.9068493150685,42702.0,20250.8
2011.2410958904109,62175.0,83757.48
2007.4493150684932,77343.0,92574.91
1999.668493150685,44548.0,55943.29
2014.4602739726026,18408.0,1051.25
2014.454794520548,18408.0,1051.25
2014.4356164383562,18408.0,1051.25
1995.0438356164384,35386.0,35491.79
2009.5671232876712,33879.0,34271.23
2014.495890410959,20800.0,8450.0
2008.2841530054645,42026.0,42221.93
2013.1123287671232,29378.0,32262.74
1986.9150684931508,37943.0,38275.72
2004.4398907103825,45074.0,55836.74
2012.0983606557377,59600.0,45741.89
1973.545205479452,48331.0,54595.92
2013.9178082191781,59600.0,40858.88
2007.4794520547946,22880.0,2233.0
2006.213698630137,65480.0,104095.81
2008.7814207650274,36271.0,34245.74
2000.7896174863388,30721.0,32793.02
2007.9972602739726,49573.0,49104.57
1997.9534246575342,50365.0,50804.84
2015.0520547945205,46199.0,18387.12
2011.7150684931507,35691.0,34970.51
2002.6493150684933,37359.0,37768.67
2014.4630136986302,20800.0,1690.0
1996.964480874317,45548.0,47176.38
2004.8907103825136,10546.0,10594.83
2003.6520547945206,57803.0,58077.78
2007.5068493150684,73674.0,0.0
2012.0218579234972,35420.0,70115.03
2006.4767123287672,56100.0,56080.84
1992.1338797814208,16744.0,4524.14
2014.2712328767122,46309.0,49193.52
2013.7643835616439,63300.0,45398.06
2002.7643835616439,70388.0,70859.53
2015.2410958904109,30834.0,6907.73
2005.0465753424658,67749.0,78206.07
1997.5698630136985,73858.0,78814.04
2014.282191780822,56100.0,56077.25
2008.207650273224,33879.0,47507.27
1995.0794520547945,56100.0,55279.42
2015.2986301369863,21320.0,3127.89
2001.3150684931506,52020.0,53843.92
2003.8082191780823,68013.0,97765.28
2008.464480874317,33879.0,34161.24
2005.849315068493,38339.0,38803.55
2000.983606557377,34895.0,22273.55
1998.805479452055,38447.0,41260.01
2009.304109589041,46747.0,60584.35
1977.2164383561644,120300.0,121835.78
2010.8575342465754,65954.0,73100.29
1990.4164383561645,11467.0,11423.62
2008.2732240437158,62379.0,71416.91
2008.3415300546449,36271.0,36559.16
1977.868493150685,38959.0,47587.6
2007.2164383561644,33879.0,44530.42
2001.0821917808219,76496.0,114469.18
2005.6876712328767,31200.0,15885.0
1999.5260273972603,70753.0,79266.91
2001.9260273972602,69296.0,71863.88
2010.7972602739726,30888.0,30511.69
1985.150684931507,67674.0,69141.97
1990.6054794520549,64144.0,68208.98
1996.2677595628415,48297.0,51584.65
1998.4136986301369,31616.0,40777.93
2004.0874316939892,48940.0,49193.65
1979.690410958904,38605.0,44442.29
1974.2164383561644,62075.0,62473.72
2007.5561643835617,56100.0,56178.02
1988.5,86800.0,87910.67
1988.1420765027322,100013.0,101193.7
2015.4712328767123,35212.0,0.0
2013.5150684931507,61500.0,56886.51
1994.5232876712328,76113.0,81374.52
1985.309589041096,91801.0,120359.61
1993.3561643835617,77155.0,86656.0
2002.9424657534246,68013.0,85344.19
2004.0874316939892,39489.0,41932.59
1985.841095890411,42939.0,45574.12
2005.0712328767124,68998.0,72979.66
2001.2712328767122,69938.0,75353.6
2001.7917808219179,67700.0,68200.1
1990.7095890410958,72011.0,72677.04
2007.2109589041097,69600.0,70146.19
2013.2904109589042,47012.0,53123.74
2015.1342465753426,30834.0,8190.36
1988.9453551912568,48126.0,49126.82
2002.1780821917807,88400.0,88823.8
2014.704109589041,67184.0,42209.15
2013.7342465753425,56100.0,31286.51
2013.7534246575342,46199.0,44839.67
2006.558904109589,16640.0,0.0
2013.572602739726,59600.0,59893.66
2006.9041095890411,29827.0,35547.41
1980.3032786885246,62075.0,76135.5
1988.792349726776,82700.0,82919.96
1993.9287671232876,100400.0,101408.53
2013.9369863013699,56100.0,56381.59
2009.7260273972602,62379.0,92416.62
2007.8082191780823,64365.0,72717.98
2007.9397260273972,70349.0,68821.56
2002.8986301369864,38151.0,41808.55
2015.1150684931506,64500.0,22203.65
2007.3835616438357,82250.0,73178.99
2013.0931506849315,48556.0,47481.22
2003.6246575342466,41001.0,46035.79
2009.8246575342466,10239.0,10269.09
2013.0602739726028,47012.0,51647.07
2014.731506849315,87589.0,54362.87
1997.8849315068494,49597.0,55530.08
1984.0792349726776,67800.0,67367.61
2012.7868852459017,53980.0,55182.87
2006.6602739726027,70967.0,132393.37
2007.945205479452,64365.0,65468.47
2013.7342465753425,31758.0,31740.93
2011.9095890410958,31158.0,42307.09
2001.0438356164384,68460.0,70594.94
2000.9043715846994,68460.0,106697.52
2014.2493150684932,59600.0,59367.75
1996.467213114754,87163.0,96221.54
2009.6054794520549,16640.0,7317.0
2002.613698630137,68656.0,84593.76
1982.8712328767124,75197.0,77714.93
2004.6994535519125,33354.0,33097.41
2011.013698630137,26157.0,28582.21
1996.9098360655737,42808.0,40399.28
2007.1534246575343,26916.0,11731.87
1974.849315068493,36774.0,43622.49
1985.8794520547945,67800.0,68537.34
1996.7267759562842,76317.0,84360.91
1999.1260273972603,70753.0,76953.64
2014.6356164383562,20800.0,15175.35
2013.9561643835616,22318.0,25536.93
1973.372602739726,53468.0,72553.04
2011.545205479452,55625.0,57050.01
2011.358904109589,10089.0,8781.31
2009.8246575342466,33879.0,34652.74
2006.9068493150685,66086.0,73252.13
2015.3643835616438,30834.0,2371.84
2011.7972602739726,62175.0,57641.77
2004.8907103825136,32947.0,37482.88
2013.8986301369864,35000.0,22813.17
2015.0493150684931,65500.0,27711.53
1997.2630136986302,74517.0,84716.47
2001.772602739726,69296.0,86571.37
2006.8657534246574,58463.0,81513.54
2010.0739726027398,92620.0,90853.87
2014.2246575342465,59600.0,59226.98
1992.3989071038252,48689.0,60045.54
1988.620218579235,52073.0,54987.84
2012.3469945355191,37951.0,41930.18
2006.4767123287672,20800.0,9565.0
1979.86301369863,38959.0,39567.04
2005.1013698630136,33556.0,32887.92
2015.3561643835617,44414.0,4953.73
2015.2219178082191,22318.0,7859.77
2012.0710382513662,55625.0,59935.47
2008.5601092896175,39735.0,44830.22
2003.482191780822,37250.0,34249.93
2012.6530054644809,47012.0,54217.37
2012.9781420765028,29827.0,32189.39
2011.2931506849316,33354.0,35952.12
1989.6219178082192,79133.0,118109.57
2003.021917808219,23920.0,0.0
2006.4246575342465,39807.0,41436.91
1980.0218579234972,63211.0,20290.46
2006.5780821917808,47515.0,54811.49
2002.7068493150684,114400.0,114670.77
2003.186301369863,30803.0,39058.8
2006.213698630137,65480.0,73414.07
2001.0575342465754,69938.0,82754.44
2013.0821917808219,53416.0,54060.88
2013.4657534246576,70138.0,0.0
1979.441095890411,38959.0,41625.43
1987.3561643835617,44583.0,67454.18
2014.4356164383562,29999.0,29883.68
1998.8246575342466,10853.0,10739.58
2007.7479452054795,34998.0,39082.29
1993.509589041096,76496.0,82716.44
1993.2986301369863,77155.0,89184.19
1987.33698630137,80190.0,79827.34
1998.145205479452,46387.0,46629.58
1989.7698630136986,53215.0,53043.55
1996.5546448087432,87163.0,110005.78
1989.3397260273973,63200.0,63641.53
2013.0164383561644,41109.0,41124.56
1987.5671232876712,47070.0,71905.61
1996.2295081967213,43837.0,48087.32
1987.8164383561643,76911.0,76997.97
2014.5561643835617,56160.0,0.0
2002.2657534246575,35360.0,15521.0
1987.5671232876712,46560.0,52316.66
2005.027397260274,67370.0,97081.28
2006.0301369863014,43761.0,51971.16
2013.9616438356165,52000.0,42096.67
2000.9234972677596,92000.0,92396.9
2010.9890410958903,55625.0,63537.24
1987.2109589041097,38848.0,40079.56
2007.7917808219179,67025.0,115048.74
2011.9068493150685,82100.0,83228.8
2013.0383561643835,22318.0,24504.2
2004.9098360655737,34895.0,32289.71
1995.9232876712329,69300.0,69222.21
2012.6530054644809,19802.0,9128.08
2007.372602739726,30108.0,37255.19
1992.8852459016393,79018.0,88693.34
2007.4739726027397,22880.0,2222.5
2009.8246575342466,26157.0,27578.11
2015.4602739726026,31470.0,0.0
2012.9398907103825,26464.0,27340.67
1993.7780821917809,46837.0,52255.2
2013.2767123287672,5512.0,2567.54
2012.4234972677596,33354.0,28811.24
2012.9016393442623,30108.0,34731.53
2000.9043715846994,31824.0,34721.27
2006.772602739726,66086.0,70767.88
1989.835616438356,37943.0,37845.2
2007.3780821917808,33280.0,9696.0
2007.9835616438356,29994.0,27802.16
2013.841095890411,29307.0,22432.15
1994.7616438356165,77666.0,115788.38
2013.6301369863013,29307.0,43740.57
2008.2158469945355,35930.0,29596.33
2006.5205479452054,49088.0,46279.4
1982.0657534246575,54640.0,70001.26
1989.021917808219,48126.0,44642.93
1984.691256830601,57008.0,59398.43
1980.9918032786886,54640.0,55374.41
1983.2356164383561,67800.0,68742.86
2010.5123287671233,20800.0,11290.0
1996.6311475409836,68825.0,70506.21
2003.613698630137,69975.0,73073.69
2012.1748633879781,63300.0,63884.75
